iter	Passed	Remaining
0	0	71
1	1	61
2	1	57
3	2	52
4	2	52
5	3	52
6	3	52
7	4	51
8	4	50
9	5	49
10	6	48
11	6	47
12	7	47
13	7	46
14	8	46
15	8	45
16	9	44
17	9	44
18	10	43
19	10	43
20	11	43
21	11	42
22	12	41
23	13	41
24	13	40
25	14	40
26	14	39
27	15	38
28	15	38
29	16	37
30	16	37
31	17	36
32	17	35
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	20	32
39	21	31
40	21	31
41	22	30
42	22	29
43	22	29
44	23	28
45	24	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	23
54	28	23
55	29	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	34	18
65	34	17
66	35	17
67	36	17
68	36	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	14
74	40	13
75	41	12
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	7
87	47	6
88	47	5
89	48	5
90	49	4
91	49	4
92	50	3
93	50	3
94	51	2
95	51	2
96	52	1
97	52	1
98	53	0
99	53	0
